% Model,ZnO piezo unit_2.mph
% Version,COMSOL 6.4.0.343
% Date,"Apr 30 2026, 21:00"
% Table,Resonant Frequency vs Pressure - 
% p_app (kPa),freq (MHz),Frequency (MHz),log|Z|,Conductance (S)
0,213.14999999999998,213.14999999999998,2.877864247713067,6.998744037212194E-7
0,213.2,213.2,2.8769703371061395,6.981609929980409E-7
0,213.25,213.25,2.876080256739825,6.965771567314907E-7
0,213.29999999999998,213.29999999999998,2.875193857797806,6.951210956630817E-7
0,213.35,213.35,2.874310994447366,6.937912944654268E-7
0,213.39999999999998,213.39999999999998,2.8734315235289225,6.925865062047649E-7
0,213.45,213.45,2.872555304264707,6.915057387575546E-7
0,213.5,213.5,2.8716821979842635,6.905482429358536E-7
0,213.54999999999998,213.54999999999998,2.8708120678649447,6.897135021862996E-7
0,213.6,213.6,2.869944778685723,6.890012237293785E-7
0,213.64999999999998,213.64999999999998,2.8690801965924475,6.884113310151662E-7
0,213.7,213.7,2.8682181888736302,6.879439573938947E-7
0,213.75,213.75,2.8673586237449786,6.875994409196147E-7
0,213.79999999999998,213.79999999999998,2.866501370141692,6.873783202007363E-7
0,213.85,213.85,2.865646297517353,6.872813312439745E-7
0,213.89999999999998,213.89999999999998,2.8647932756485157,6.873094052329587E-7
0,213.95,213.95,2.8639421744437104,6.874636671939365E-7
0,214,214,2.8630928637563273,6.877454355164061E-7
0,214.04999999999998,214.04999999999998,2.8622452132002842,6.881562222852765E-7
0,214.1,214.1,2.8613990919677685,6.886977344597907E-7
0,214.14999999999998,214.14999999999998,2.8605543686482346,6.893718757396651E-7
0,214.2,214.2,2.859710911047895,6.901807493254004E-7
0,214.25,214.25,2.858868586009119,6.911266613662794E-7
0,214.29999999999998,214.29999999999998,2.858027259228701,6.922121252121692E-7
0,214.35,214.35,2.857186795074845,6.934398664429871E-7
0,214.39999999999998,214.39999999999998,2.8563470564015434,6.948128286912587E-7
0,214.45,214.45,2.8555079043601137,6.963341802725222E-7
0,214.5,214.5,2.8546691982070516,6.980073216574124E-7
0,214.54999999999998,214.54999999999998,2.85383079510749,6.998358938031873E-7
0,214.6,214.6,2.8529925499334414,7.018237873857291E-7
0,214.64999999999998,214.64999999999998,2.852154315056471,7.039751529736826E-7
0,214.7,214.7,2.8513159401334573,7.062944121851403E-7
0,214.75,214.75,2.8504772718852323,7.087862698924115E-7
0,214.79999999999998,214.79999999999998,2.8496381538667954,7.114557275195172E-7
0,214.85,214.85,2.8487984262287585,7.143080975150369E-7
0,214.89999999999998,214.89999999999998,2.8479579254685525,7.173490190659605E-7
0,214.95,214.95,2.847116484170913,7.205844751508346E-7
0,215,215,2.846273930736403,7.240208109908196E-7
10,200,200,3.220853466592519,1.1520985251503736E-5
10,200.04999999999998,200.04999999999998,3.2495125574132957,1.1480782610400947E-5
10,200.1,200.1,3.280149932895423,1.150196079689654E-5
10,200.14999999999998,200.14999999999998,3.3132580605531397,1.1598219229407604E-5
10,200.2,200.2,3.34951987018376,1.178909360920333E-5
10,200.25,200.25,3.3899164930984904,1.2102953523812602E-5
10,200.29999999999998,200.29999999999998,3.4359195920423113,1.258199397586751E-5
10,200.35,200.35,3.4898596655673484,1.3290888780607958E-5
10,200.39999999999998,200.39999999999998,3.5556987527997217,1.4332524950943676E-5
10,200.45,200.45,3.640866380201557,1.5878296351228574E-5
10,200.5,200.5,3.76148868415028,1.8230646366956987E-5
10,200.54999999999998,200.54999999999998,3.9622863460653277,2.1963961211837392E-5
10,200.6,200.6,4.416520188794204,2.8279734593629264E-5
10,200.64999999999998,200.64999999999998,4.036838732842971,4.00479404718732E-5
10,200.7,200.7,3.5937039819449943,6.559707903604053E-5
10,200.75,200.75,3.2508839688436644,1.3812272676804425E-4
10,200.79999999999998,200.79999999999998,2.852796452526857,5.063545966347533E-4
10,200.85,200.85,2.2559548414267283,0.005514673231442891
10,200.89999999999998,200.89999999999998,2.7369624568875937,4.722995722141221E-4
10,200.95,200.95,2.9790218460375946,1.3272337996941366E-4
10,201,201,3.1211404995391385,6.327650592140195E-5
10,201.04999999999998,201.04999999999998,3.223381272679116,3.828590715009194E-5
10,201.1,201.1,3.305841741427055,2.6534269709414426E-5
10,201.14999999999998,201.14999999999998,3.3775157739256145,2.006359534780321E-5
10,201.2,201.2,3.4432330807949802,1.6106063362322663E-5
10,201.25,201.25,3.505980646093142,1.3495650270369056E-5
10,201.29999999999998,201.29999999999998,3.567865867349593,1.1672241114682139E-5
10,201.35,201.35,3.630593770173303,1.0339673238933717E-5
10,201.39999999999998,201.39999999999998,3.695756472084631,9.329413494307413E-6
10,201.45,201.45,3.7650649666687417,8.539815317165451E-6
10,201.5,201.5,3.840607940826171,7.906607381666225E-6
10,201.54999999999998,201.54999999999998,3.925238557831824,7.387526322867118E-6
10,201.6,201.6,4.023287282896763,6.953845902665647E-6
10,201.64999999999998,201.64999999999998,4.142117685650712,6.5854799272703335E-6
10,201.7,201.7,4.296218936347899,6.2680342890198385E-6
10,201.75,201.75,4.521282675568251,5.990969453039507E-6
10,201.79999999999998,201.79999999999998,4.948002359212938,5.7464198585116795E-6
10,201.85,201.85,4.96367160769305,5.52841491813993E-6
10,201.89999999999998,201.89999999999998,4.548906050822276,5.332352738731585E-6
10,201.95,201.95,4.338999640826519,5.154637014090725E-6
10,202,202,4.201049919637224,4.992421718770354E-6
10,202.04999999999998,202.04999999999998,4.099052400523838,4.843428507186551E-6
10,202.1,202.1,4.018543701889958,4.705814073298242E-6
10,202.14999999999998,202.14999999999998,3.952296644797171,4.578072428070931E-6
10,202.2,202.2,3.8961884600554697,4.458961964067265E-6
10,202.25,202.25,3.8476479671217976,4.34745036651053E-6
10,202.29999999999998,202.29999999999998,3.8049651851096438,4.242672543251882E-6
10,202.35,202.35,3.7669462282432584,4.1438981677322024E-6
10,202.39999999999998,202.39999999999998,3.732725171477508,4.050506399231033E-6
